iter	Passed	Remaining
757	2205	704
758	2207	700
759	2208	697
760	2210	694
761	2217	692
762	2219	689
763	2220	685
764	2222	682
765	2223	679
766	2225	676
767	2227	672
768	2230	669
769	2232	666
770	2234	663
771	2236	660
772	2238	657
773	2240	654
774	2245	651
775	2246	648
776	2248	645
777	2249	641
778	2250	638
779	2252	635
780	2253	632
781	2255	628
782	2258	625
783	2260	622
784	2262	619
785	2263	616
786	2265	613
787	2266	609
788	2267	606
789	2269	603
790	2270	600
791	2272	596
792	2273	593
793	2275	590
794	2276	587
795	2278	583
796	2279	580
797	2281	577
798	2282	574
799	2283	570
800	2285	567
801	2286	564
802	2288	561
803	2290	558
804	2291	555
805	2292	551
806	2294	548
807	2295	545
808	2299	542
809	2301	539
810	2303	536
811	2305	533
812	2308	531
813	2310	527
814	2311	524
815	2314	521
816	2316	518
817	2318	515
818	2319	512
819	2320	509
820	2322	506
821	2323	503
822	2325	500
823	2329	497
824	2331	494
825	2332	491
826	2334	488
827	2335	485
828	2336	482
829	2337	478
830	2339	475
831	2342	473
832	2345	470
833	2346	467
834	2347	463
835	2349	460
836	2350	457
837	2352	454
838	2353	451
839	2355	448
840	2358	445
841	2359	442
842	2361	439
843	2362	436
844	2363	433
845	2364	430
846	2366	427
847	2367	424
848	2368	421
849	2369	418
850	2372	415
851	2373	412
852	2374	409
853	2376	406
854	2377	403
855	2378	400
856	2380	397
857	2381	394
858	2382	391
859	2383	388
860	2385	385
861	2387	382
862	2388	379
863	2390	376
864	2391	373
865	2393	370
866	2394	367
867	2396	364
868	2398	361
869	2403	359
870	2404	356
871	2406	353
872	2408	350
873	2409	347
874	2411	344
875	2413	341
876	2416	338
877	2417	335
878	2418	332
879	2420	330
880	2421	327
881	2422	324
882	2423	321
883	2425	318
884	2426	315
885	2428	312
886	2430	309
887	2432	306
888	2433	303
889	2435	300
890	2436	298
891	2438	295
892	2440	292
893	2442	289
894	2446	286
895	2447	284
896	2448	281
897	2449	278
898	2451	275
899	2452	272
900	2453	269
901	2454	266
902	2456	263
903	2457	260
904	2458	258
905	2460	255
906	2461	252
907	2462	249
908	2463	246
909	2464	243
910	2466	240
911	2467	238
912	2469	235
913	2471	232
914	2474	229
915	2475	227
916	2476	224
917	2478	221
918	2479	218
919	2481	215
920	2482	212
921	2484	210
922	2485	207
923	2488	204
924	2490	201
925	2491	199
926	2492	196
927	2494	193
928	2495	190
929	2496	187
930	2497	185
931	2498	182
932	2500	179
933	2503	176
934	2505	174
935	2506	171
936	2507	168
937	2508	165
938	2510	163
939	2511	160
940	2512	157
941	2514	154
942	2515	152
943	2518	149
944	2519	146
945	2520	143
946	2522	141
947	2523	138
948	2524	135
949	2525	132
950	2527	130
951	2528	127
952	2530	124
953	2533	122
954	2534	119
955	2535	116
956	2536	113
957	2538	111
958	2539	108
959	2541	105
960	2542	103
961	2543	100
962	2544	97
963	2547	95
964	2549	92
965	2550	89
966	2551	87
967	2552	84
968	2554	81
969	2555	79
970	2556	76
971	2558	73
972	2559	71
973	2562	68
974	2563	65
975	2565	63
976	2566	60
977	2567	57
978	2568	55
979	2569	52
980	2571	49
981	2572	47
982	2574	44
983	2576	41
984	2577	39
985	2579	36
986	2580	33
987	2582	31
988	2583	28
989	2585	26
990	2586	23
991	2587	20
992	2589	18
993	2590	15
994	2592	13
995	2593	10
996	2595	7
997	2596	5
998	2597	2
999	2598	0
